STNAME,COUNTY/METRO,total_houses,renter_houses,percent_rent,min_wage,mean_rent_wage,studio,one_bed,two_bed,three_bed,four_bed,median_rent_income,med_income_afford,min_wage_afford,full_time_afford
California,San Benito County HMFA,"17,390","6,566",38,$11.00,$13.32,"$1,269","$1,277","$1,699","$2,471","$2,992","$49,453","$1,236",$572,$692
California,San Diego-Carlsbad MSA,"1,103,128","521,493",47,$11.00,$20.14,"$1,257","$1,400","$1,816","$2,612","$3,198","$49,228","$1,231",$572,"$1,048"
California,San Francisco HMFA,"722,207","370,332",51,$11.00,$38.13,"$2,014","$2,499","$3,121","$4,070","$4,346","$70,939","$1,773",$572,"$1,983"
California,San Jose-Sunnyvale-Santa Clara HMFA,"626,579","272,324",43,$11.00,$42.95,"$1,716","$2,031","$2,522","$3,468","$3,942","$74,051","$1,851",$572,"$2,233"
California,San Luis Obispo-Paso Robles-Arroyo Grande MSA,"104,404","42,780",41,$11.00,$13.90,$971,"$1,107","$1,427","$2,076","$2,513","$44,442","$1,111",$572,$723
California,Santa Ana-Anaheim-Irvine HMFA,"1,017,012","435,506",43,$11.00,$20.22,"$1,294","$1,493","$1,876","$2,626","$3,045","$55,575","$1,389",$572,"$1,051"
California,Santa Cruz-Watsonville MSA,"95,062","40,209",42,$11.00,$14.62,"$1,253","$1,477","$1,965","$2,615","$2,961","$47,074","$1,177",$572,$760
California,Santa Maria-Santa Barbara MSA,"143,051","68,611",48,$11.00,$17.04,"$1,393","$1,636","$1,917","$2,603","$3,030","$47,441","$1,186",$572,$886
California,Santa Rosa MSA,"189,043","76,269",40,$11.00,$17.52,"$1,224","$1,420","$1,843","$2,681","$3,246","$49,140","$1,229",$572,$911
California,Stockton-Lodi MSA,"221,707","98,257",44,$11.00,$13.63,$631,$746,$990,"$1,440","$1,744","$37,185",$930,$572,$709
California,Vallejo-Fairfield MSA,"145,315","59,232",41,$11.00,$17.57,$874,"$1,087","$1,341","$1,951","$2,361","$47,517","$1,188",$572,$914
California,Visalia-Porterville MSA,"134,153","58,392",44,$11.00,$11.65,$629,$633,$842,"$1,194","$1,396","$29,752",$744,$572,$606
California,Yolo HMFA,"72,544","35,350",49,$11.00,$14.40,$848,$905,"$1,203","$1,706","$2,119","$37,280",$932,$572,$749
California,Yuba City MSA,"57,683","24,429",42,$11.00,$12.70,$674,$678,$887,"$1,290","$1,562","$34,115",$853,$572,$660
California,Alameda County,"564,293","267,659",47,$11.00,$22.56,"$1,540","$1,855","$2,329","$3,219","$3,946","$53,767","$1,344",$572,"$1,173"
California,Alpine County,343,63,18,$11.00,$10.58,$646,$710,$940,"$1,339","$1,520","$45,688","$1,142",$572,$550
California,Amador County,"14,248","3,470",24,$11.00,$10.46,$725,$793,"$1,055","$1,522","$1,687","$33,466",$837,$572,$544
